# GVClass Pipeline Version: 1.0.0
query	taxonomy_majority	taxonomy_strict	species	genus	family	order	class	phylum	domain	avgdist	order_dup	order_completeness	gvog4_unique	gvog8_unique	gvog8_total	gvog8_dup	mcp_total	mirus_unique	mirus_total	mirus_dup	mrya_unique	mrya_total	phage_unique	phage_total	cellular_unique	cellular_total	cellular_dup	contigs	LENbp	GCperc	genecount	CODINGperc	ttable
bin_2122	s_;g_;f_Mimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	NCLDV__GVMAG-M-3300023179-27:18(25.35%),NCLDV__Prymnesium_kappa_virus_RF01:18(25.35%),NCLDV__Edafosvirus_sp-_:6(8.45%),NCLDV__Catovirus_CTV1_:4(5.63%),NCLDV__GVMAG-M-3300012954-26:3(4.23%),NCLDV__GVMAG-M-3300017788-7:2(2.82%),NCLDV__SRX327520-277:2(2.82%),NCLDV__GVMAG-S-3300002092-30:2(2.82%),NCLDV__GVMAG-M-3300023174-204:1(1.41%),NCLDV__Indivirus_ILV1_:1(1.41%),NCLDV__Mimivirus_LCMiAC01:1(1.41%),NCLDV__GVMAG-M-3300012920-24:1(1.41%),NCLDV__GVMAG-M-3300009436-15:1(1.41%),NCLDV__GVMAG-M-3300023174-167:1(1.41%),NCLDV__mPacV_611:1(1.41%),NCLDV__GVMAG-M-3300009169-13:1(1.41%),NCLDV__GVMAG-M-3300020185-3:1(1.41%),NCLDV__GVMAG-M-3300021389-2:1(1.41%),NCLDV__GVMAG-S-ERX555907-72:1(1.41%),NCLDV__GVMAG-M-3300012920-30:1(1.41%),NCLDV__Pithovirus_LCPAC304:1(1.41%),NCLDV__Terrestrivirus_sp-_:1(1.41%),NCLDV__GVMAG-M-3300024261-37:1(1.41%),NCLDV__Yasminvirus:1(1.41%)	NCLDV__g235:18(25.35%),NCLDV__Biavirus:18(25.35%),NCLDV__g238-Klosneuvirinae:6(8.45%),NCLDV__g241-Klosneuvirinae:4(5.63%),NCLDV__g343:3(4.23%),NCLDV__g210:2(2.82%),NCLDV__g233-Klosneuvirinae:2(2.82%),NCLDV__g236:2(2.82%),NCLDV__g323:2(2.82%),NCLDV__g284:1(1.41%),NCLDV__g232:1(1.41%),NCLDV__g340:1(1.41%),NCLDV__g240:1(1.41%),NCLDV__g257:1(1.41%),NCLDV__g220:1(1.41%),NCLDV__g242:1(1.41%),NCLDV__g288:1(1.41%),NCLDV__g342:1(1.41%),NCLDV__g191:1(1.41%),NCLDV__g271:1(1.41%),NCLDV__g61:1(1.41%),NCLDV__g239-Klosneuvirinae:1(1.41%),NCLDV__g329:1(1.41%)	NCLDV__Mimiviridae:39(54.93%),NCLDV__Schizomimiviridae:18(25.35%),NCLDV__Mesomimiviridae:8(11.27%),NCLDV__IM_08:2(2.82%),NCLDV__IM_13:1(1.41%),NCLDV__AG_03:1(1.41%),NCLDV__IM_06:1(1.41%),NCLDV__PM_07:1(1.41%)	NCLDV__Imitervirales:69(97.18%),NCLDV__Algavirales:1(1.41%),NCLDV__Pimascovirales:1(1.41%)	NCLDV__Megaviricetes:71(100.00%)	NCLDV__Nucleocytoviricota:71(100.00%)	NCLDV:71(100.00%)	2.6530896543450706	1.64	43.82	3	5	7	1.4	2	0	0	0.0	0	0	0	0	0	0	0	70	414284	21.37	386	90.31	code4
bin_2137	s_;g_g342;f_Mesomimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_;p_;d_	NCLDV__GVMAG-M-3300009159-65:24(30.77%),NCLDV__GVMAG-M-3300009163-40:22(28.21%),NCLDV__GVMAG-M-3300027736-24:8(10.26%),NCLDV__GVMAG-M-3300023174-107:7(8.97%),NCLDV__GVMAG-M-3300009161-25:3(3.85%),NCLDV__GVMAG-M-3300023174-124:2(2.56%),NCLDV__GVMAG-M-3300023184-160:2(2.56%),NCLDV__GVMAG-S-3300012919-55:2(2.56%),NCLDV__Organic_Lake_phycodnavirus_2_:1(1.28%),NCLDV__GVMAG-M-3300010368-35:1(1.28%),BAC__Desulfosporosinus:1(1.28%),NCLDV__Edafosvirus_sp-_:1(1.28%),NCLDV__GVMAG-M-3300005613-26:1(1.28%),NCLDV__ERX555965-56:1(1.28%),NCLDV__GVMAG-S-3300005662-174:1(1.28%),NCLDV__GVMAG-M-3300012936-37:1(1.28%)	NCLDV__g342:41(52.56%),NCLDV__g296:30(38.46%),NCLDV__g335:3(3.85%),BAC__Desulfitobacteriaceae:1(1.28%),NCLDV__g238-Klosneuvirinae:1(1.28%),NCLDV__g343:1(1.28%),NCLDV__g339:1(1.28%)	NCLDV__Mesomimiviridae:46(58.97%),NCLDV__IM_07:30(38.46%),BAC__Desulfitobacteriales:1(1.28%),NCLDV__Mimiviridae:1(1.28%)	NCLDV__Imitervirales:77(98.72%),BAC__Desulfitobacteriia:1(1.28%)	NCLDV__Megaviricetes:77(98.72%),BAC__Firmicutes_B:1(1.28%)	NCLDV__Nucleocytoviricota:77(98.72%),BAC__Bacteria:1(1.28%)	NCLDV:77(98.72%),BAC:1(1.28%)	2.437615910379487	1.29	62.92	3	3	4	1.33	3	0	0	0.0	0	0	0	0	0	0	0	38	245764	25.36	329	92.66	code4
bin_2142	s_;g_;f_PM_01;o_Pimascovirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_;p_;d_	NCLDV__GVMAG-S-1101172-105:15(24.19%),NCLDV__GVMAG-M-3300023210-3:12(19.35%),NCLDV__GVMAG-M-3300005589-24:6(9.68%),NCLDV__GVMAG-M-3300024502-1:5(8.06%),NCLDV__Prymnesium_kappa_virus_RF01:4(6.45%),NCLDV__GVMAG-M-3300017783-9:4(6.45%),NCLDV__GVMAG-M-3300020201-24:2(3.23%),NCLDV__GVMAG-M-3300023179-108:2(3.23%),NCLDV__GVMAG-M-3300023174-172:2(3.23%),NCLDV__GVMAG-M-3300022752-15:1(1.61%),NCLDV__GVMAG-S-1038524-41:1(1.61%),NCLDV__GVMAG-S-ERX556045-99:1(1.61%),NCLDV__GVMAG-S-1016704-142:1(1.61%),NCLDV__GVMAG-M-3300023184-134:1(1.61%),NCLDV__SRX247688-42:1(1.61%),NCLDV__GVMAG-M-3300024261-61:1(1.61%),NCLDV__GVMAG-M-3300025676-16:1(1.61%),EUK__Entosiphon:1(1.61%),NCLDV__GVMAG-S-3300010158-109:1(1.61%)	NCLDV__g96:20(32.26%),NCLDV__g91:12(19.35%),NCLDV__g98:6(9.68%),NCLDV__Biavirus:4(6.45%),NCLDV__g106:4(6.45%),NCLDV__g97:2(3.23%),NCLDV__g111:2(3.23%),NCLDV__g99:2(3.23%),NCLDV__g109:1(1.61%),NCLDV__g95:1(1.61%),NCLDV__g107:1(1.61%),NCLDV__g104:1(1.61%),NCLDV__g112:1(1.61%),NCLDV__g71:1(1.61%),NCLDV__g335:1(1.61%),NCLDV__g105:1(1.61%),EUK__Peranemataceae:1(1.61%),NCLDV__g89:1(1.61%)	NCLDV__PM_01:55(88.71%),NCLDV__Schizomimiviridae:4(6.45%),NCLDV__PM_08:1(1.61%),NCLDV__Mesomimiviridae:1(1.61%),EUK__Heteronematales:1(1.61%)	NCLDV__Pimascovirales:56(90.32%),NCLDV__Imitervirales:5(8.06%),EUK__Euglenida:1(1.61%)	NCLDV__Megaviricetes:61(98.39%),EUK__Euglenozoa:1(1.61%)	NCLDV__Nucleocytoviricota:61(98.39%),EUK__Eukaryota:1(1.61%)	NCLDV:61(98.39%),EUK:1(1.61%)	3.1747012023774195	1.15	83.33	4	6	8	1.33	1	0	0	0.0	2	2	0	0	0	0	0	42	226454	30.7	295	93.88	codemeta
bin_2145	s_;g_g335;f_Mesomimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	NCLDV__GVMAG-M-3300023184-81:28(35.00%),NCLDV__GVMAG-S-3300005662-156:16(20.00%),NCLDV__GVMAG-M-3300027708-5:7(8.75%),NCLDV__GVMAG-S-ERX555943-30:7(8.75%),NCLDV__GVMAG-M-3300009155-19:2(2.50%),NCLDV__GVMAG-M-3300024185-6:2(2.50%),NCLDV__GVMAG-M-3300020178-15:2(2.50%),NCLDV__GVMAG-M-3300027708-30:2(2.50%),NCLDV__GVMAG-M-3300023174-111:2(2.50%),NCLDV__GVMAG-M-3300023179-152:2(2.50%),NCLDV__GVMAG-M-3300024261-26:2(2.50%),NCLDV__GVMAG-M-3300017991-11:2(2.50%),NCLDV__GVMAG-M-3300024258-28:1(1.25%),NCLDV__GVMAG-M-3300021961-46:1(1.25%),NCLDV__ERX552296-13:1(1.25%),NCLDV__GVMAG-M-3300018426-17:1(1.25%),NCLDV__ERX633345-33:1(1.25%),NCLDV__GVMAG-M-3300018049-14:1(1.25%)	NCLDV__g335:75(93.75%),NCLDV__g177:2(2.50%),NCLDV__g95:2(2.50%),NCLDV__g207:1(1.25%)	NCLDV__Mesomimiviridae:75(93.75%),NCLDV__AG_01:2(2.50%),NCLDV__PM_01:2(2.50%),NCLDV__incertae_sedis:1(1.25%)	NCLDV__Imitervirales:76(95.00%),NCLDV__Algavirales:2(2.50%),NCLDV__Pimascovirales:2(2.50%)	NCLDV__Megaviricetes:80(100.00%)	NCLDV__Nucleocytoviricota:80(100.00%)	NCLDV:80(100.00%)	3.3906655845925	1.22	67.42	3	4	5	1.25	1	0	0	0.0	1	1	0	0	0	0	0	47	294618	38.43	301	93.13	code4
bin_2146	s_;g_g300;f_Allomimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	NCLDV__GVMAG-M-3300013004-38:44(44.90%),NCLDV__GVMAG-M-3300010370-19:9(9.18%),NCLDV__GVMAG-M-3300027763-16:9(9.18%),NCLDV__GVMAG-M-3300021962-60:7(7.14%),NCLDV__GVMAG-S-1091229-144:6(6.12%),NCLDV__GVMAG-M-3300023184-60:6(6.12%),NCLDV__GVMAG-M-3300010354-31:3(3.06%),NCLDV__GVMAG-M-3300021958-16:2(2.04%),NCLDV__GVMAG-M-3300000117-10:2(2.04%),NCLDV__GVMAG-M-3300021958-43:2(2.04%),NCLDV__GVMAG-S-3300010160-96:2(2.04%),NCLDV__ERX556003-31:1(1.02%),NCLDV__GVMAG-M-3300017963-43:1(1.02%),NCLDV__GVMAG-S-1006661-62:1(1.02%),NCLDV__GVMAG-M-3300021962-56:1(1.02%),NCLDV__SRX331950-48:1(1.02%),NCLDV__GVMAG-M-3300027763-29:1(1.02%)	NCLDV__g300:91(92.86%),NCLDV__g335:2(2.04%),NCLDV__g105:2(2.04%),NCLDV__g331:1(1.02%),NCLDV__g267:1(1.02%),NCLDV__g319:1(1.02%)	NCLDV__Allomimiviridae:91(92.86%),NCLDV__Mesomimiviridae:4(4.08%),NCLDV__PM_01:2(2.04%),NCLDV__IM_13:1(1.02%)	NCLDV__Imitervirales:96(97.96%),NCLDV__Pimascovirales:2(2.04%)	NCLDV__Megaviricetes:98(100.00%)	NCLDV__Nucleocytoviricota:98(100.00%)	NCLDV:98(100.00%)	3.707073377842857	1.36	80.9	3	5	5	1.0	2	0	0	0.0	1	1	0	0	0	0	0	61	470714	33.67	425	92.18	codemeta
bin_2150	s_;g_;f_Mimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_;p_;d_	NCLDV__GVMAG-M-3300023179-27:20(24.39%),NCLDV__GVMAG-M-3300012920-24:12(14.63%),NCLDV__GVMAG-M-3300023174-136:6(7.32%),NCLDV__SRX327520-277:5(6.10%),NCLDV__GVMAG-M-3300017788-7:4(4.88%),NCLDV__GVMAG-M-3300013006-15:3(3.66%),NCLDV__ERX552254-13:3(3.66%),NCLDV__GVMAG-S-1004661-13:3(3.66%),NCLDV__Mimivirus_LCMiAC01:3(3.66%),NCLDV__GVMAG-M-3300023174-204:2(2.44%),NCLDV__GVMAG-M-3300012954-26:2(2.44%),NCLDV__ERX552300-8:2(2.44%),NCLDV__GVMAG-S-1101174-64:2(2.44%),NCLDV__Hyperionvirus_sp-_:1(1.22%),NCLDV__GVMAG-S-405408-21:1(1.22%),NCLDV__Mimivirus_LCMiAC02:1(1.22%),NCLDV__GVMAG-M-3300020185-49:1(1.22%),NCLDV__Klosneuvirus_KNV1_:1(1.22%),NCLDV__GVMAG-M-3300022916-4:1(1.22%),EUK__Choanocystis:1(1.22%),NCLDV__Catovirus_CTV1_:1(1.22%),NCLDV__GVMAG-M-3300023179-103:1(1.22%),NCLDV__GVMAG-M-3300009182-67:1(1.22%),NCLDV__GVMAG-M-3300009169-13:1(1.22%),NCLDV__GVMAG-M-3300010334-28:1(1.22%),NCLDV__Fadolivirus:1(1.22%),NCLDV__GVMAG-S-3300013131-119:1(1.22%),NCLDV__Cafeteria_roenbergensis_virus_BV-PW1_strain=BV-PW1:1(1.22%)	NCLDV__g235:20(24.39%),NCLDV__g340:12(14.63%),NCLDV__g236:7(8.54%),NCLDV__g213:6(7.32%),NCLDV__g210:4(4.88%),NCLDV__g232:4(4.88%),NCLDV__g320:3(3.66%),NCLDV__g219:3(3.66%),NCLDV__g231:3(3.66%),NCLDV__g284:2(2.44%),NCLDV__g233-Klosneuvirinae:2(2.44%),NCLDV__g343:2(2.44%),NCLDV__g230:2(2.44%),NCLDV__g234-Klosneuvirinae:2(2.44%),NCLDV__g239-Klosneuvirinae:1(1.22%),NCLDV__g278:1(1.22%),NCLDV__g221:1(1.22%),NCLDV__g229:1(1.22%),EUK__Pterocystida_X:1(1.22%),NCLDV__g241-Klosneuvirinae:1(1.22%),NCLDV__g168:1(1.22%),NCLDV__g242:1(1.22%),NCLDV__g243:1(1.22%),NCLDV__g225-Aliimimivirinae:1(1.22%)	NCLDV__Mimiviridae:60(73.17%),NCLDV__Mesomimiviridae:17(20.73%),NCLDV__IM_08:2(2.44%),NCLDV__IM_09:1(1.22%),EUK__Pterocystida:1(1.22%),NCLDV__AG_04:1(1.22%)	NCLDV__Imitervirales:80(97.56%),EUK__Centroplasthelida:1(1.22%),NCLDV__Algavirales:1(1.22%)	NCLDV__Megaviricetes:81(98.78%),EUK__Eukaryota_X:1(1.22%)	NCLDV__Nucleocytoviricota:81(98.78%),EUK__Eukaryota:1(1.22%)	NCLDV:81(98.78%),EUK:1(1.22%)	2.5975882301585367	1.48	53.93	3	5	6	1.2	5	0	0	0.0	0	0	0	0	0	0	0	90	629430	25.29	609	88.17	code129
bin_2154	s_;g_;f_Mimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_;p_;d_	NCLDV__Bodo_saltans_virus_strain=NG1:23(41.07%),NCLDV__GVMAG-M-3300017788-2:4(7.14%),NCLDV__SRX327520-277:3(5.36%),NCLDV__GVMAG-S-1015567-333:3(5.36%),EUK__Neobodo:2(3.57%),EUK__Entosiphon:2(3.57%),NCLDV__Satyrvirus_sp-_:2(3.57%),NCLDV__GVMAG-M-3300023179-103:1(1.79%),NCLDV__SRX696246-4:1(1.79%),NCLDV__GVMAG-M-3300009697-1:1(1.79%),NCLDV__GVMAG-M-3300023174-166:1(1.79%),EUK__Nonionella:1(1.79%),NCLDV__Fadolivirus:1(1.79%),NCLDV__GVMAG-M-3300023179-4:1(1.79%),NCLDV__GVMAG-M-3300023184-13:1(1.79%),NCLDV__Terrestrivirus_sp-_:1(1.79%),EUK__Mantamonas:1(1.79%),EUK__Guillardia:1(1.79%),NCLDV__Hyperionvirus_sp-_:1(1.79%),ARC__Ignicoccus:1(1.79%),NCLDV__GVMAG-M-3300009164-40:1(1.79%),NCLDV__Catovirus_CTV1_:1(1.79%),EUK__Lapot:1(1.79%),NCLDV__GVMAG-M-3300023174-167:1(1.79%)	NCLDV__g237:23(41.07%),NCLDV__g234-Klosneuvirinae:4(7.14%),NCLDV__g209:4(7.14%),NCLDV__g236:3(5.36%),EUK__Neobodonida_X:2(3.57%),NCLDV__g233-Klosneuvirinae:2(3.57%),EUK__Peranemataceae:2(3.57%),NCLDV__g239-Klosneuvirinae:2(3.57%),NCLDV__g246-Megamimivirinae:2(3.57%),NCLDV__g217:1(1.79%),NCLDV__g336:1(1.79%),EUK__Nonionidae:1(1.79%),NCLDV__g213:1(1.79%),NCLDV__g284:1(1.79%),EUK__Mantamonadidae:1(1.79%),EUK__Geminigeraceae:1(1.79%),ARC__Ignicoccaceae:1(1.79%),NCLDV__g322:1(1.79%),NCLDV__g241-Klosneuvirinae:1(1.79%),EUK__Aquavolonida_X:1(1.79%),NCLDV__g257:1(1.79%)	NCLDV__Mimiviridae:43(76.79%),EUK__Neobodonida:2(3.57%),NCLDV__Mesomimiviridae:2(3.57%),EUK__Heteronematales:2(3.57%),EUK__Rotaliida:1(1.79%),NCLDV__IM_08:1(1.79%),EUK__Eukaryota_X:1(1.79%),EUK__Pyrenomonadales:1(1.79%),ARC__Sulfolobales:1(1.79%),EUK__Aquavolonida:1(1.79%),NCLDV__IM_13:1(1.79%)	NCLDV__Imitervirales:47(83.93%),EUK__Kinetoplastea:2(3.57%),EUK__Euglenida:2(3.57%),EUK__Eukaryota_X:2(3.57%),EUK__Foraminifera_X:1(1.79%),EUK__Cryptophyceae:1(1.79%),ARC__Thermoproteia:1(1.79%)	NCLDV__Megaviricetes:47(83.93%),EUK__Euglenozoa:4(7.14%),EUK__Eukaryota_X:3(5.36%),EUK__Foraminifera:1(1.79%),ARC__Thermoproteota:1(1.79%)	NCLDV__Nucleocytoviricota:47(83.93%),EUK__Eukaryota:8(14.29%),ARC__Archaea:1(1.79%)	NCLDV:47(83.93%),EUK:8(14.29%),ARC:1(1.79%)	2.3187084971142857	1.57	33.71	1	2	2	1.0	0	0	0	0.0	1	2	0	0	0	0	0	117	499102	25.21	511	88.53	code4
bin_2155	s_;g_;f_Mimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	NCLDV__Catovirus_CTV1_:10(16.67%),NCLDV__GVMAG-M-3300009684-20:7(11.67%),NCLDV__GVMAG-M-3300009436-15:6(10.00%),NCLDV__GVMAG-S-1014582-52:6(10.00%),NCLDV__SRX327520-277:3(5.00%),NCLDV__Terrestrivirus_sp-_:3(5.00%),NCLDV__GVMAG-M-3300012954-26:3(5.00%),NCLDV__Edafosvirus_sp-_:2(3.33%),NCLDV__GVMAG-M-3300023179-27:2(3.33%),NCLDV__GVMAG-S-403982-43:2(3.33%),NCLDV__GVMAG-M-3300023179-103:1(1.67%),NCLDV__Cafeteria_roenbergensis_virus_BV-PW1_strain=BV-PW1:1(1.67%),NCLDV__SRX327520-21:1(1.67%),NCLDV__Mimivirus_LCMiAC01:1(1.67%),NCLDV__GVMAG-M-3300020165-43:1(1.67%),NCLDV__GVMAG-M-3300009697-1:1(1.67%),NCLDV__Bodo_saltans_virus_strain=NG1:1(1.67%),NCLDV__GVMAG-M-3300023174-136:1(1.67%),NCLDV__Harvfovirus_sp-_:1(1.67%),NCLDV__GVMAG-S-1101174-64:1(1.67%),NCLDV__GVMAG-M-3300024252-35:1(1.67%),NCLDV__GVMAG-S-3300013131-116:1(1.67%),NCLDV__ERX552300-8:1(1.67%),NCLDV__Mimivirus_LCMiAC02:1(1.67%),NCLDV__GVMAG-M-3300005613-49:1(1.67%),NCLDV__Yasminvirus:1(1.67%)	NCLDV__g241-Klosneuvirinae:10(16.67%),NCLDV__g323:7(11.67%),NCLDV__g240:6(10.00%),NCLDV__g246-Megamimivirinae:6(10.00%),NCLDV__g236:4(6.67%),NCLDV__g239-Klosneuvirinae:4(6.67%),NCLDV__g343:3(5.00%),NCLDV__g232:2(3.33%),NCLDV__g238-Klosneuvirinae:2(3.33%),NCLDV__g235:2(3.33%),NCLDV__g300:2(3.33%),NCLDV__g234-Klosneuvirinae:1(1.67%),NCLDV__g225-Aliimimivirinae:1(1.67%),NCLDV__g245:1(1.67%),NCLDV__g215:1(1.67%),NCLDV__g217:1(1.67%),NCLDV__g237:1(1.67%),NCLDV__g213:1(1.67%),NCLDV__g289:1(1.67%),NCLDV__g222:1(1.67%),NCLDV__g230:1(1.67%),NCLDV__g257:1(1.67%),NCLDV__g233-Klosneuvirinae:1(1.67%)	NCLDV__Mimiviridae:46(76.67%),NCLDV__Mesomimiviridae:10(16.67%),NCLDV__Allomimiviridae:2(3.33%),NCLDV__IM_08:1(1.67%),NCLDV__IM_13:1(1.67%)	NCLDV__Imitervirales:60(100.00%)	NCLDV__Megaviricetes:60(100.00%)	NCLDV__Nucleocytoviricota:60(100.00%)	NCLDV:60(100.00%)	3.9152440017016663	1.2	50.56	2	3	4	1.33	2	0	0	0.0	1	1	0	0	0	0	0	60	286067	23.9	306	93.77	codemeta
bin_2159	s_;g_g341;f_Mesomimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_;p_;d_	NCLDV__GVMAG-M-3300023174-32:14(20.29%),NCLDV__GVMAG-M-3300005613-8:10(14.49%),ARC__Sulfolobus:8(11.59%),NCLDV__GVMAG-S-3300012000-73:6(8.70%),NCLDV__GVMAG-M-3300023184-14:5(7.25%),NCLDV__GVMAG-S-1017268-20:5(7.25%),NCLDV__GVMAG-S-1035124-57:4(5.80%),NCLDV__GVMAG-M-3300012920-24:3(4.35%),NCLDV__GVMAG-M-3300027969-16:3(4.35%),NCLDV__GVMAG-M-3300020187-69:2(2.90%),NCLDV__GVMAG-M-3300005613-11:2(2.90%),NCLDV__GVMAG-M-3300023174-144:2(2.90%),NCLDV__GVMAG-S-1101169-110:1(1.45%),NCLDV__GVMAG-S-3300010157-88:1(1.45%),NCLDV__ERX552288-39:1(1.45%),NCLDV__ERX552270-108:1(1.45%),NCLDV__GVMAG-M-3300027769-4:1(1.45%)	NCLDV__g341:42(60.87%),NCLDV__g314:8(11.59%),ARC__Sulfolobaceae:8(11.59%),NCLDV__g340:3(4.35%),NCLDV__g329:3(4.35%),NCLDV__g343:2(2.90%),NCLDV__g336:2(2.90%),NCLDV__g344:1(1.45%)	NCLDV__Mesomimiviridae:61(88.41%),ARC__Sulfolobales:8(11.59%)	NCLDV__Imitervirales:61(88.41%),ARC__Thermoproteia:8(11.59%)	NCLDV__Megaviricetes:61(88.41%),ARC__Thermoproteota:8(11.59%)	NCLDV__Nucleocytoviricota:61(88.41%),ARC__Archaea:8(11.59%)	NCLDV:61(88.41%),ARC:8(11.59%)	5.006162607952174	1.25	64.04	3	4	5	1.25	1	0	0	0.0	1	1	0	0	0	0	0	45	267848	39.68	252	91.88	code15
bin_2164	s_;g_;f_Mimiviridae;o_Imitervirales;c_Megaviricetes;p_Nucleocytoviricota;d_NCLDV	s_;g_;f_;o_;c_;p_;d_	NCLDV__GVMAG-M-3300010334-28:22(38.60%),NCLDV__Edafosvirus_sp-_:5(8.77%),NCLDV__GVMAG-M-3300020187-22:3(5.26%),ARC__Ferroglobus:3(5.26%),NCLDV__Catovirus_CTV1_:2(3.51%),BAC__Georhizobium:2(3.51%),NCLDV__GVMAG-M-3300023179-31:1(1.75%),NCLDV__GVMAG-M-3300022752-33:1(1.75%),NCLDV__GVMAG-M-3300025617-32:1(1.75%),NCLDV__GVMAG-M-3300005613-33:1(1.75%),NCLDV__Mimivirus_LCMiAC01:1(1.75%),NCLDV__GVMAG-M-3300023179-27:1(1.75%),NCLDV__GVMAG-S-3300010158-109:1(1.75%),NCLDV__GVMAG-M-3300012920-30:1(1.75%),NCLDV__GVMAG-M-3300024311-5:1(1.75%),NCLDV__GVMAG-M-3300009159-41:1(1.75%),NCLDV__Terrestrivirus_sp-_:1(1.75%),NCLDV__SRX327520-277:1(1.75%),NCLDV__GVMAG-S-1101165-58:1(1.75%),NCLDV__SRX802077-79:1(1.75%),NCLDV__ERX555926-32:1(1.75%),NCLDV__GVMAG-M-3300023179-145:1(1.75%),EUK__Theileria:1(1.75%),EUK__Trichoplax:1(1.75%),NCLDV__GVMAG-M-3300024258-28:1(1.75%),NCLDV__GVMAG-M-3300022916-4:1(1.75%)	NCLDV__g243:22(38.60%),NCLDV__g238-Klosneuvirinae:5(8.77%),NCLDV__g335:3(5.26%),NCLDV__g244:3(5.26%),ARC__Archaeoglobaceae:3(5.26%),NCLDV__g300:2(3.51%),NCLDV__g241-Klosneuvirinae:2(3.51%),BAC__Rhizobiaceae:2(3.51%),NCLDV__g224:1(1.75%),NCLDV__g264:1(1.75%),NCLDV__g232:1(1.75%),NCLDV__g235:1(1.75%),NCLDV__g89:1(1.75%),NCLDV__g271:1(1.75%),NCLDV__g341:1(1.75%),NCLDV__g239-Klosneuvirinae:1(1.75%),NCLDV__g236:1(1.75%),NCLDV__g226:1(1.75%),NCLDV__g215:1(1.75%),NCLDV__g213:1(1.75%),EUK__Theileriidae:1(1.75%),EUK__Trichoplacidae:1(1.75%),NCLDV__g229:1(1.75%)	NCLDV__Mimiviridae:41(71.93%),NCLDV__Mesomimiviridae:4(7.02%),ARC__Archaeoglobales:3(5.26%),NCLDV__Allomimiviridae:2(3.51%),BAC__Rhizobiales:2(3.51%),NCLDV__IM_13:1(1.75%),NCLDV__PM_01:1(1.75%),NCLDV__IM_06:1(1.75%),EUK__Piroplasmida:1(1.75%),EUK__Placozoa_X:1(1.75%)	NCLDV__Imitervirales:49(85.96%),ARC__Archaeoglobi:3(5.26%),BAC__Alphaproteobacteria:2(3.51%),NCLDV__Pimascovirales:1(1.75%),EUK__Aconoidasida:1(1.75%),EUK__Placozoa_X:1(1.75%)	NCLDV__Megaviricetes:50(87.72%),ARC__Halobacteriota:3(5.26%),BAC__Proteobacteria:2(3.51%),EUK__Apicomplexa:1(1.75%),EUK__Placozoa:1(1.75%)	NCLDV__Nucleocytoviricota:50(87.72%),ARC__Archaea:3(5.26%),EUK__Eukaryota:2(3.51%),BAC__Bacteria:2(3.51%)	NCLDV:50(87.72%),ARC:3(5.26%),EUK:2(3.51%),BAC:2(3.51%)	2.3603356134228077	1.55	37.08	3	5	7	1.4	3	0	0	0.0	0	0	0	0	0	0	0	93	512453	22.99	490	91.04	codemeta
